,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,MA_50,MA_200,MA_21,slowk,slowd,k,d,j,SMMA_21,upper,middle,lower,Bollinger_Rank,direction_MA,kdj_cross,buy_signal,sell_signal,usdt,btc,com,profit,profit_percent,cum_profit,cum_profit_percent
38,1610000700000,2021-01-07 06:25:00,BTC/USDT,36927.14,36999.0,36915.55,36945.89,124.126102,4586761.67757964,2376,37330.8394,37359.89644999999,37176.934761904755,2.8498561597426875,4.595369131060353,7.877218311431854,13.689726878535346,-3.747798822775131,37244.65638370934,37404.8772056831,37170.518,36936.15879431689,0.020761304542620176,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
39,1610000760000,2021-01-07 06:26:00,BTC/USDT,36945.88,36962.04,36885.0,36904.01,88.920518,3282525.68745932,2348,37316.2964,37359.24519999999,37157.82714285714,4.350013988025672,3.790280258989521,6.751636702570887,11.377030153213859,-2.499150198715057,37228.43512734223,37414.7299582987,37154.0925,36893.455041701294,0.020248352572966002,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
40,1610000820000,2021-01-07 06:27:00,BTC/USDT,36904.02,36928.14,36807.69,36829.81,101.808907,3753263.92465703,2804,37299.6072,37358.23549999999,37138.65047619047,5.556599867544603,4.252156671770965,5.976613604746042,9.576891303724587,-1.223941793211047,37209.45297842116,37427.655772140446,37133.405,36839.15422785955,-0.01587800057682414,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
41,1610000880000,2021-01-07 06:28:00,BTC/USDT,36848.48,36873.5,36750.0,36780.47,118.924223,4378136.01821512,2769,37281.869399999996,37356.49319999999,37116.59857142856,5.178527298798733,5.028380384789647,6.18725607064772,8.447012892698964,1.6677424265452316,37189.02521754397,37441.875340841434,37111.4285,36780.98165915857,-0.0007741928433413101,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
42,1610000940000,2021-01-07 06:29:00,BTC/USDT,36784.97,36889.12,36710.0,36812.07,154.355446,5679603.56434085,3171,37265.05499999999,37355.07739999999,37097.173333333325,11.878146139672767,7.537757768672011,12.324614049588831,9.739546611662254,17.494748925441986,37171.074969089495,37445.99038476888,37092.321500000005,36738.652615231134,0.10379395520876097,0,1,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
43,1610001000000,2021-01-07 06:30:00,BTC/USDT,36820.54,36946.93,36820.54,36946.78,83.548473,3083177.67780576,1939,37250.940599999994,37354.13934999999,37085.39095238094,29.685481813353505,15.58071841727498,27.49926750977208,15.659453577698862,51.17889537391851,37160.39425627571,37429.62572699685,37077.581,36725.53627300315,0.31422673034217913,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
44,1610001060000,2021-01-07 06:31:00,BTC/USDT,36946.78,37008.05,36936.8,37005.29,107.903115,3990877.60757847,2144,37240.541,37353.4932,37074.138571428564,51.53042255288019,31.031350168635466,42.38063274685843,24.566513300752053,78.0088716390712,37153.008339310196,37404.686386724454,37064.06999999999,36723.45361327553,0.4137152493377526,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
45,1610001120000,2021-01-07 06:32:00,BTC/USDT,37005.29,37063.55,36906.79,36981.91,119.954354,4435665.10193164,2532,37232.351599999995,37352.80065,37060.15761904762,68.96681238539679,50.06090558387681,53.889921666245904,34.34098275591667,92.98779948690438,37144.86079934304,37377.57896103506,37049.621,36721.663038964936,0.3967687813000574,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
46,1610001180000,2021-01-07 06:33:00,BTC/USDT,36991.79,37043.46,36950.02,36951.87,77.145261,2854724.21358111,2098,37224.1726,37352.13159999999,37044.96619047619,72.48789522160531,64.32837671996076,58.73055542375198,42.47084031186177,91.2499856475324,37135.670761279085,37359.99986443816,37037.229999999996,36714.46013556183,0.36776956369737906,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
47,1610001240000,2021-01-07 06:34:00,BTC/USDT,36952.45,37032.3,36924.0,37026.17,59.907577,2215044.27856644,1563,37217.655999999995,37351.686949999996,37036.70333333333,78.2491868194029,73.23463147546832,68.96278295397595,51.30148785923316,104.28537314346153,37130.45643931341,37335.262835413305,37026.639,36718.0151645867,0.4992401753426197,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
