Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1524211200,2018-04-20 08-AM,BTCUSD,8323.11,8344.35,8302.52,8315.13,15.35,127866.37
1524207600,2018-04-20 07-AM,BTCUSD,8310.34,8350,8310.34,8323.11,25.42,211756.39
1524204000,2018-04-20 06-AM,BTCUSD,8288.12,8314.44,8277.82,8310.34,44.19,366759.98
1524200400,2018-04-20 05-AM,BTCUSD,8272.06,8300,8222.11,8288.12,50.46,417458.46
1524196800,2018-04-20 04-AM,BTCUSD,8339.91,8341.31,8261.29,8272.06,65.73,545401.26
1524193200,2018-04-20 03-AM,BTCUSD,8334.31,8344.19,8332.45,8339.91,23.34,194643.01
1524189600,2018-04-20 02-AM,BTCUSD,8364.44,8393.7,8310.12,8334.31,61.1,510611.32
1524186000,2018-04-20 01-AM,BTCUSD,8359.19,8366.94,8321.32,8364.44,22.29,186121.29
1524182400,2018-04-20 12-AM,BTCUSD,8275.6,8366.67,8275.6,8359.19,97.96,817712.65
1524178800,2018-04-19 11-PM,BTCUSD,8265.27,8282.45,8250.69,8275.6,29.7,245554.36
1524175200,2018-04-19 10-PM,BTCUSD,8276.74,8291.91,8265.27,8265.27,35.34,292654.31
1524171600,2018-04-19 09-PM,BTCUSD,8238.32,8276.78,8238.13,8276.74,17.02,140614.44
1524168000,2018-04-19 08-PM,BTCUSD,8250.36,8250.36,8202.33,8238.32,48.38,398100.04
1524164400,2018-04-19 07-PM,BTCUSD,8265.88,8270.83,8238.37,8250.36,8.26,68197.42
1524160800,2018-04-19 06-PM,BTCUSD,8268.05,8270.61,8240.22,8265.88,12.49,103058.59
1524157200,2018-04-19 05-PM,BTCUSD,8241.07,8290,8238.17,8268.05,67.55,557963.66
1524153600,2018-04-19 04-PM,BTCUSD,8218.98,8277.11,8218.98,8241.07,42.65,352051.2
1524150000,2018-04-19 03-PM,BTCUSD,8224,8224.18,8211.02,8218.98,8.35,68636.55
1524146400,2018-04-19 02-PM,BTCUSD,8225.75,8253.45,8176.85,8224,36.45,299633.17
1524142800,2018-04-19 01-PM,BTCUSD,8228.97,8238.95,8215.17,8225.75,29.64,243899.19
