unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1638871200,2021-12-07 10:00:00,BTC/USDT,51255.35500236,51304.48441554,51133.98759858,51181.48632719,313464.07731362,6.12266263
1638869400,2021-12-07 09:30:00,BTC/USDT,51323.49781758,51501.04635673,51154.08352055,51255.35500236,453148.39723732,8.8296146
1638867600,2021-12-07 09:00:00,BTC/USDT,51202.31130389,51471.882228,51049.39608129,51339.21509708,1044626.92324308,20.38389559
1638865800,2021-12-07 08:30:00,BTC/USDT,51079.08078019,51254.99999999,50948.34924971,51208.45151455,336369.35560504,6.57702414
1638864000,2021-12-07 08:00:00,BTC/USDT,50902.30213184,51128.04030257,50845,51076.51510902,432609.36354637,8.48521338
1638862200,2021-12-07 07:30:00,BTC/USDT,50977.97182645,51045.4478103,50830.36216494,50904.84704786,208970.07796826,4.10407742
1638860400,2021-12-07 07:00:00,BTC/USDT,51141.90547706,51317.77342799,50962.00000001,50982.2022662,437906.77566748,8.57104617
1638858600,2021-12-07 06:30:00,BTC/USDT,51133.60516235,51178.20340118,51020.4868941,51141.29451958,284141.76747132,5.55780774
1638856800,2021-12-07 06:00:00,BTC/USDT,50892.98308689,51154.70237375,50881,51133.60553592,88393.24468744,1.7345706
1638855000,2021-12-07 05:30:00,BTC/USDT,51017.44218128,51063.04752128,50857.11784615,50900.32694082,211157.0453931,4.14439718
1638853200,2021-12-07 05:00:00,BTC/USDT,50919.44127462,51193.085125,50919.44127462,51012.2948449,165598.40961209,3.24252895
1638851400,2021-12-07 04:30:00,BTC/USDT,51168.69113513,51195.92317952,50818.83600391,50899.24038282,239235.33512752,4.69726889
1638849600,2021-12-07 04:00:00,BTC/USDT,50941.64096528,51198.4828003,50941.64096528,51168.69113513,670255.01988479,13.12060413
1638847800,2021-12-07 03:30:00,BTC/USDT,50810.72298854,50981,50760.10596014,50934.4579764,154862.88359559,3.04011861
1638846000,2021-12-07 03:00:00,BTC/USDT,50636.810774,50833.59161469,50607.83220583,50816.01334126,23960.97585045,0.47234932
1638844200,2021-12-07 02:30:00,BTC/USDT,50822.15863577,50845.90191561,50587.22386378,50636.84998399,375685.64645112,7.39976945
1638842400,2021-12-07 02:00:00,BTC/USDT,50614.26773567,50849.67935281,50549.58285699,50809.40788812,278283.04073645,5.49064034
1638840600,2021-12-07 01:30:00,BTC/USDT,50752.95360496,50784.2024171,50375.00000001,50614.26773567,263602.99515293,5.20974913
1638838800,2021-12-07 01:00:00,BTC/USDT,50630.64724922,51399.10524395,50580.24615783,50752.95360497,605176.81605888,11.83967252
1638837000,2021-12-07 00:30:00,BTC/USDT,50608.0990283,50754.79999999,50520.00059967,50652.90608271,148028.5013814,2.9226366
1638835200,2021-12-07 00:00:00,BTC/USDT,50464.74492339,50673.46938774,50354.5201964,50592.56785943,409073.41934994,8.09006402
1638833400,2021-12-06 23:30:00,BTC/USDT,50372.62682383,50559.274807,50290,50460.51280625,487483.37352364,9.67203312
